date,type,duration,distance,hr zone,notes
01/05/2025,walk,0,,,
01/08/2025,walk,0,,,
01/09/2025,walk,0,,,
01/17/2025,walk,0,,,
01/18/2025,walk,0,,,
01/21/2025,walk,0,,,
01/23/2025,walk,30,,,
01/24/2025,run,0,2.0,,
01/25/2025,walk,20,,,
01/27/2025,walk,45,,,
01/28/2025,run,0,2.0,,
01/29/2025,walk,50,,,
01/31/2025,run,0:00:00,2.0,,
02/01/2025,walk,50,,,
02/03/2025,walk,50,,,
02/04/2025,run,0:00:00,2.0,,
02/05/2025,walk,53,,,
02/06/2025,run,0:00:00,2.5,,
02/10/2025,walk,60,,,
02/11/2025,run,0:00:00,2.5,,
02/12/2025,walk,50,,,
02/13/2025,walk,60,,,
02/15/2025,run,0:00:00,3.0,,
02/18/2025,walk,60,,,
02/19/2025,run,0,3.0,,
02/20/2025,walk,50,,,
02/21/2025,walk,60,,,
02/22/2025,run,0,3.0,,
02/24/2025,walk,62,,,
02/25/2025,run,0,3.5,,
02/26/2025,walk,55,,,
02/27/2025,walk,45,,,
02/28/2025,run,0,3.5,,
03/03/2025,walk,60,,,
03/04/2025,run,0,3.5,,
03/05/2025,walk,50,,,
03/06/2025,run,0,3.5,,
03/08/2025,walk,61,,,
03/16/2025,walk,60,,,
03/17/2025,walk,58,,,
03/18/2025,run,0,3.5,,
03/20/2025,walk,55,,,
03/24/2025,walk,60,,,
03/25/2025,run,0,3.0,,
03/26/2025,walk,45,,,
03/28/2025,run,0,3.5,,
03/31/2025,walk,60,,,
04/01/2025,tennis,90,,,
04/02/2025,run,0,4.0,,
04/03/2025,walk,27,,,
04/04/2025,run,0,4.0,,
04/07/2025,walk,60,,,
04/08/2025,run,0,4.0,,
04/10/2025,walk,50,,,
04/11/2025,run,0,4.0,,
04/13/2025,walk,52,,,
04/14/2025,run,0,4.5,,
04/16/2025,walk,50,,,
04/17/2025,run,0,4.2,,
04/19/2025,walk,45,,,
04/21/2025,walk,60,,,
04/22/2025,run,0,4.5,,
04/23/2025,walk,51,,,
04/24/2025,run,0,4.0,,
04/28/2025,walk,55,,,
04/29/2025,walk,50,,,
04/30/2025,walk,55,,,
05/01/2025,walk,55,,,
05/02/2025,run,0,4.2,,
05/05/2025,walk,54,,,
05/06/2025,run,0,5.0,,
05/07/2025,walk,0,,,
05/08/2025,walk,45,,,
05/09/2025,run,0,5.0,,
05/10/2025,walk,57,,,
05/12/2025,run,0,4.0,,
05/12/2025,tennis,90,,,
05/13/2025,walk,45,,,
05/15/2025,walk,60,,,
05/16/2025,run,0,2.0,,
05/18/2025,walk,45,,,
05/19/2025,run,0,5.0,,
05/20/2025,walk,85,,,
05/21/2025,walk,40,,,
05/22/2025,walk,40,,,
05/23/2025,run,0,5.5,,
05/24/2025,lift,0,,,today for 30 minutes. Back biceps core and chest
05/28/2025,walk,50,,2.0,
05/29/2025,run,0,2.5,,
05/29/2025,lift,0,,,today for 24 minutes. Back bis chest and core
05/30/2025,walk,50,,2.0,
06/03/2025,walk,50,,2.0,
06/03/2025,lift,0,,,Back bis chest core 
06/04/2028,walk,60,,2.0,
06/05/2025,bike,52,,,
06/05/2025,walk,38,,2.0,
06/05/2025,lift ,30,,,Back bis chest core
06/07/2025,walk,45,,3.0,
06/08/2025,lift ,0,,,Workout 3
06/09/2028,run,0,5.0,,
06/10/2025,walk,60,,2.0,
06/11/2025,walk,45,,2.0,
06/12/2025,walk,60,,2.0,
06/10/2025,lift,0,,,Workout 2
06/11/2025,bike,84,,,
06/11/2025,run,0,4.0,,
06/16/2025,walk,60,,2.0,
06/16/2025,lift,0,,,"Back, bi, chest, abs, push up"
06/17/2025,run,0,4.2,,
06/20/2025,walk,45,,3.0,
06/20/2025,lift,0,,,"Shoulders, bis, back, core"
06/23/2025,tennis,90,,,
06/24/2025,run,0,4.5,,
06/25/2025,lift,0,,,Back bi chest abs legs
06/25/2025,walk,50,,2.0,
06/26/2025,run,0,4.0,,
06/27/2025,lift,0,,,
06/29/2025,walk,45,,2.0,
06/30/2025,walk,60,,2.0,
06/30/2025,lift,0,,,
07/01/2025,run,0,4.0,,
07/03/2025,walk,45,,2.0,
07/05/2025,lift ,0,,,
07/07/2025,walk,60,,2.0,
07/08/2025,run,0,5.0,,
07/09/2025,lift,0,,,
07/09/2025,walk,45,,2.0,
07/11/2025,walk,45,,,Feel strong!
07/11/2025,lift,25,,,
07/13/2025,lift,20,,,Basic core and pushups
07/14/2025,walk,45,,2.0,
07/15/2025,lift,25,,,
07/15/2025,walk,55,,2.0,
07/17/2025,run,45,4.0,,
07/18/2025,tennis,60,,,
07/20/2025,lift,,,,
07/21/2025,walk,55,,2.0,
07/22/2025,run,,2.75,,
07/22/2025,lift ,,,,
